127.0.0.1 - - [17/Mar/2023:19:21:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:21:37 +0530] "GET /ToDoApp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:21:37 +0530] "GET /ToDoApp/home HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:21:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:22:51 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:23:56 +0530] "POST /ToDoApp/saveTodo HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:24:05 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:24:20 +0530] "POST /ToDoApp/saveTodo HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:24:22 +0530] "GET /ToDoApp/add HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:24:36 +0530] "POST /ToDoApp/saveTodo HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:24:42 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:25:13 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:25:14 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:25:14 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:25:15 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:25:15 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Mar/2023:19:27:20 +0530] "GET /ToDoApp/home HTTP/1.1" 200 2499
