127.0.0.1 - - [11/Mar/2023:19:50:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2023:19:50:53 +0530] "GET /springmvcnew/ HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [11/Mar/2023:19:50:59 +0530] "GET /springmvcnew/home HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:33:09 +0530] "GET /springmvcnew/home HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:33:14 +0530] "GET /springmvcnew/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:33:14 +0530] "GET /springmvcnew/home HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:36:13 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:40:54 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:43:06 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:43:52 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:44:19 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:44:37 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:46:06 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:46:09 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:46:15 +0530] "GET /springmvcnew/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:47:22 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:48:29 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:48:31 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:48:32 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:51:21 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [11/Mar/2023:23:53:19 +0530] "GET /springmvcnew/home HTTP/1.1" 200 1822
